Film,Imdb,Director,Description,Star,Time,Poster,Date
Cạm Bẫy: Hơi Thở Của Quỷ,8.0,Nguyễn Quang Tuyến,"Cạm bẫy - Hơi thở của quỷ là câu chuyện kịch tính, nhưng đầy cảm xúc về hành trình tìm lại chính mình của Hoa để cứu những người thân yêu đang cận kề cái chết. Hoa bị bắt cóc trong một lần xem đua chó cùng chồng mình tại thành phố Vũng Tàu. Người bắt cóc cô là Hải đen, chủ của trường đua chó, đồng thời là một tay chuyên cho vay và tổ chức cá độ. Hải đen một mực cho rằng Hoa đã thông đồng với Tuấn chó, người chủ trước đây của trường đua chó,  để lấy cắp tiền và một vật vô cùng quan trong trong két của hắn. Sau khi thất bại trong việc dùng mọi cực hình tra tấn, Hải đen đã cho đàn em hãm hiếp và vứt cô xuống biển. Sau khi được Tuấn chó cứu sống ở bãi biển, Hoa bị mất hoàn toàn trí nhớ và cô bắt đầu cuộc sống mới với Tuấn chó dưới tên Linh Chi. Những tưởng một cuộc đời mới tươi sáng và hạnh phúc hơn đã mở ra với Hoa nhưng không phải. Mọi biến cố, đau khổ, bất hạnh bắt đầu ập đến dữ dội và mạnh mẽ hơn từ đây.","['Nhật Kim Anh', 'Đông Dương', 'Xuân Phúc', 'Quang Hòa', 'Lâm Trí', 'Hoàng Tiến Dũng', 'Hùng Chilhuyn']",92phút,https://i.moveek.com/media/cache/poster_fixed/media/2f0abfe37458251f24ff5614718da7485a5b2dc5.jpg ,2018-12-01
Ở Đây Có Nắng,7.9,Đỗ Nam,"Ở Đây Có Nắng xoay quanh nhân vật Tùng Nhân – một MC, đạo diễn chương trình truyền hình nổi tiếng đang sống yên vui với người yêu. Bỗng một ngày Tùng Nhân bàng hoàng phát hiện mình có đứa con trai “trên trời rơi xuống” - kết quả mối tình nhiều năm trước với người yêu cũ. Thừa nhận đứa trẻ đồng nghĩa với việc sẽ vướng vào tai tiếng, sự nghiệp có thể tiêu tan, nhưng nhìn thấy con sống bơ vơ, nhớ lại thân cảnh mồ côi của chính mình, Tùng Nhân quyết định nuôi con. Tình phụ tử vừa ấm áp thì éo le bất ngờ xảy đến...","['Huy Khánh', 'Quý Bình', 'Lê Bình', 'Quỳnh Chi', 'Anh Thơ', 'bé Gia Bảo', 'Trương Thanh Long', 'Hạnh Thúy', 'Lê Chi Na', 'Lan Trinh']",100phút,https://i.moveek.com/media/cache/poster_fixed/media/6c5c6703431542ab9aac9a967c03facc3d11855b.jpg ,2018-12-01
Xưởng 13,5.0,Phan Minh,"Để quay clip câu view, một nhóm bạn trẻ gồm ba nam một nữ quyết tâm đột nhập vào khu xưởng may bỏ hoang bị đồn đại ma ám. Trong quá trình tìm hiểu về hiện tượng kỳ lạ xảy ra sau khi người bảo vệ ở đây nhảy lầu tự sát, họ liên tục gặp phải những “tai nạn” vô cùng đáng sợ. Tính mạng mọi người bị đe dọa bởi một thế lực bí ẩn phía trong khu nhà. Đó là ai, hoặc là Gì?","['Trương Mỹ Nhân', 'Tuấn Trần', 'Brian Trần', 'Jay Nhân']",82phút,https://i.moveek.com/media/cache/poster_fixed/media/e24459bc083b8bf74c2823feb72415fdd318ce3e.png ,2018-01-19
LALA: Hãy Để Em Yêu Anh,4.0,Han Sang-hee,"Hãy Để Em Yêu Anh là câu chuyện về những người trẻ trên hành trình theo đuổi đam mê, nơi họ cùng nhau chia sẻ và trải nghiệm tình bạn, tình yêu, những tổn thương và trên hết là sự đồng điệu trong tâm hồn. Hà Mi là một nhạc sĩ trẻ đam mê sáng tác. Còn G-Feel – nhạc sĩ thiên tài của Hàn Quốc đang phải đối mặt với áp lực từ sự nổi tiếng. Giữa hai con người xa lạ, sống ở hai đất nước  có một sợi dây liên kết đặc biệt là cô gái Yoon-hee. Câu chuyện về mối quan hệ kỳ lạ của 3 người được hé mở khi G-Feel quyết định sang Việt Nam sau một biến cố lớn.","['Chi Pu', 'San E', 'Chae Yeon', 'Jin Ju Hyung']",96phút,https://i.moveek.com/media/cache/poster_fixed/media/df1a4bfb3065ca2985ffdd00e5ddd3418d9b657a.jpg ,2018-02-02
Yêu Em Từ Khi Nào,5,Tsai Lex,"Yêu Em Từ Khi Nào là câu chuyện kể về chàng trai trẻ Đại Vệ đam mê du lịch nhưng lại bị gia đình áp lực phải mang 1 cô dâu hiền về cho gia đình. Đại Vệ “thề với lòng” sẽ tự mình cưới một cô gái mà anh yêu chứ không phải lấy vợ để làm rạng rỡ tổ tông. 
Một lần, vô tình xem được trên tivi về cảnh đẹp Việt Nam, khiến Đại Vệ liền nghĩ đến người bạn thời thiếu niên tên Huy, phần khác lại muốn tìm hiểu vẻ đẹp của đất nước và con người nước bạn. Nên anh chàng quyết định vác balo lên đường ngay sang Việt Nam mà không chuẩn bị gì trước. Oái oăm thay khi vừa đặt chân tới nơi, anh lại vô tình vướng vào cuộc tình tay ba với Đỗ Nhi - cô gái trẻ đang trốn chạy một mối tình sắp đặt. Cặp đôi hết sức “lệch pha” này ban đầu như đôi đũa lệnh bị cuốn vào một cuộc phiêu lưu bất ngờ đầy hài hước, và dần dần giữa họ lại nảy sinh câu chuyện tình cảm động.","['Sun Wei Lung', 'Khả Ngân', 'Aki Myung-Hun', 'Kha Ly', 'Lê Bê La', 'Nhất Duy', 'Do Tai Wai', 'Lu Shi Yong']",74phút,https://i.moveek.com/media/cache/poster_fixed/media/48d1bf9212fda2c124583e80ff05a859a7c21311.jpg ,2018-09-02
Siêu Sao Siêu Ngố,9.1,Đức Thịnh,"Siêu Sao Siêu Ngố là bộ phim hài – tình cảm có nội dung xoay quanh nhân vật chính là ngôi sao điện ảnh Thế Sơn. Mặc dù sở hữu sự nghiệp thành công hàng đầu và có cuộc sống sang chảnh bậc nhất khiến vạn người mê, nhưng Thế Sơn lại chẳng thể tự do yêu đương hay làm những gì mà mình yêu thích. Anh luôn bị giám sát và phải chịu nhiều chi phối từ công ty quản lý, nhà đầu tư, vấn đề tiền bạc… đặc biệt là Tony Dũng.","['Trường Giang', 'Thanh Thúy', 'Đức Thịnh', 'Mai Tài Phến', 'Sam']",90phút,https://i.moveek.com/media/cache/poster_fixed/media/a2b2fd2f4f165c67d4638660800439e052f99b96.jpg ,2018-02-16
Về Quê Ăn Tết,8.8,Nguyễn Hoàng Anh,"Đậu Đỏ là chàng lơ xe đôn hậu, chân chất, luôn luôn khao khát một cái Tết đậm đà ý nghĩa trong chuyến hành trình về quê từ Sài Gòn đến Cà Mau cùng người chị của mình.","['Jun Phạm', 'Trung Dân', 'Hải Triều', 'Tiến Công', 'Puka', 'Ngọc Tưởng']",80phút,https://i.moveek.com/media/cache/poster_fixed/media/adb82c58cbecb4b7eebb86b3c112b99256a23d04.png ,2018-02-16
798Mười,8.2,Dustin Nguyễn,"Bộ phim kể câu chuyện về anh Tám bán bánh tiêu bị mất người yêu vào tay một trùm giang hồ thế lực, cùng đường nên phải lôi người anh họ tên Mười vào cuộc. Mười bị mù, ở quê lần đầu lên thành phố cùng với con vịt cưng, nhưng anh lại là một cao thủ ẩn danh với môn phái Bành Công kỳ dị. Kể từ đó, bắt đầu một hành trình ly kỳ, quyết liệt, với những pha võ thuật lạ mắt, sôi động, màn drift xe trứ danh do anh mù lái và câu chuyện đủ mọi sắc thái tình cảm, từ âm mưu chiếm đoạt đến yêu thương, tha thứ.","['Dustin Nguyễn', 'Thu Trang', 'Kiều Minh Tuấn', 'Hoàng Sơn', 'Nam Em', 'Tiểu Bảo Quốc', 'Đại Nghĩa', 'Lê Bình', 'Tiết Cương']",100phút,https://i.moveek.com/media/cache/poster_fixed/media/cdf71aa04c9293d15f039940e84e203f9b892a4a.jpg ,2018-02-16
Đích Tôn Độc Đắc,6.0,Trần Ngọc Giàu,"Đích Tôn Độc Đắc là một câu chuyện xoay quanh ước mơ sẽ được nhìn thấy đứa chắt đích tôn, người sẽ thừa hưởng sản nghiệp của gia đình của ông Hữu Phát. Nhưng ước mơ đó của ông dường như vẫn còn quá xa vời khi cháu nội Hữu Phước chưa thể cầu hôn được Phương Thúy- người bạn gái lâu năm của anh.","['Hoài Linh', 'Bạch Công Khanh', 'Thanh Vy', 'Celina Huỳnh', 'Lê Lộc', 'Xuân Nghị', 'Tấn Beo', 'Trung Dân', 'Bella Mai', 'Hứa Minh Đạt', 'Thân Thuý Hà', 'Tuấn Dũng']",90phút,https://i.moveek.com/media/cache/poster_fixed/media/eee20fe4a136e7ee12e49e006d5fc21f51d39316.jpg ,2018-02-16
Thử Yêu Rồi Biết,2.9,Nguyễn Hà,"Chuyện phim kể về Quốc Bảo, đại thiếu gia của 1 đại gia bất động sản, vừa được ba giao dự án xây dựng thành phố Angels city đầu tiên để chứng tỏ năng lực. Nhưng ngay khi cận kề ngày trúng thầu thì sự cố truyền thông với hot girl Yu Nhi, một cô gái từ Mỹ về Việt Nam với ước mơ làm ca sĩ, xảy ra khiến đối tác dời ngày công bố hợp tác, ba anh tức giận ngừng tất cả công việc của anh lại. Yu Nhi cũng vì việc này mà bị mất hợp đồng trở thành ca sĩ với bầu Thái.
Họ bỗng chốc nhìn nhau như kẻ thù, ai cũng chính là kẻ gây ra thất bại ‘đầu đời' của người kia. Chuyện gì tiếp theo với Yu Nhi - cô gái 1 mình không gia đình bên cạnh, lỡ ‘dính chuyện' với Quốc Bảo để khiến anh & gia đình mất đi cơ hội làm ăn?","['Trương Mỹ Nhân', 'Kent Phạm Tùng Anh', 'Xuân Phúc', 'Ngọc Châu']",93phút,https://i.moveek.com/media/cache/poster_fixed/media/732dfbb9d471b50f2b5cfc6a8ff29dde13ca9e6b.jpg ,2018-02-03
