Film,Director,Star
1,Lương Đình Dũng,No actor
2,"


",No actor
3,Toàn Joshua,Hứa Minh Đạt
4,Toàn Joshua,POM
5,Toàn Joshua,Nhi Katy
6,Toàn Joshua,Katleen
7,Toàn Joshua,Hoàng Phúc
8,Toàn Joshua,Tiểu Bảo Quốc
9,Toàn Joshua,Nguyễn Chánh Tín
10,Toàn Joshua,Phương Dung
11,Toàn Joshua,Trung Dân
12,Toàn Joshua,bé Tin Tin
13,Toàn Joshua,Vân Trang
14,Toàn Joshua,Lê Bình
15,Toàn Joshua,Huỳnh Đông
16,Toàn Joshua,Ái Châu
17,Toàn Joshua,Bạch Long
18,Lê Thiện Viễn,Ngọc Trinh
19,Lê Thiện Viễn,Việt Hương
20,Lê Thiện Viễn,Chí Tài
21,Lê Thiện Viễn,Diệu Nhi
22,Lê Thiện Viễn,La Thành
23,Lê Thiện Viễn,Huỳnh Lập
24,Lê Thiện Viễn,Lâm Vinh Hải
25,Lê Thiện Viễn,Quang Đại
26,Lê Thiện Viễn,Thủy Tiên
27,Lê Thiện Viễn,Tài Smile
28,Nhất Trung,Trấn Thành
29,Nhất Trung,Khả Như
30,Nhất Trung,Mạc Văn Khoa
31,Nhất Trung,Lê Giang
32,Nhất Trung,Hữu Châu
33,"


                                                Chấm điểm
                                            
",Quốc Anh
34,"


                                                Chấm điểm
                                            
",Tùng Yuki
35,"


                                                Chấm điểm
                                            
",Công Dương
36,"


                                                Chấm điểm
                                            
",Khả Như
37,"


                                                Chấm điểm
                                            
",Nabi Nhã Phương
38,"


                                                Chấm điểm
                                            
",Trấn Thành
39,"


                                                Chấm điểm
                                            
",Ngô Thanh Vân
40,"


                                                Chấm điểm
                                            
",Phan Thanh Nhiên
41,"


                                                Chấm điểm
                                            
",Mai Cát Vy
42,"


                                                Chấm điểm
                                            
",Thạch Kim Long
43,"


",No actor
44,Lý Hải,No actor
45,Huỳnh Tuấn Anh,No actor
46,"


",No actor
47,Khương Ngọc,Thu Trang
48,Khương Ngọc,Tiến Luật
49,Khương Ngọc,Khương Ngọc
50,Khương Ngọc,Diệu Nhi
51,Khương Ngọc,B Trần
52,Khương Ngọc,La Thành
53,Khương Ngọc,Lê Quốc Nam
54,Khương Ngọc,Hứa Minh Đạt
55,Khương Ngọc,Hoàng Mèo
56,Khương Ngọc,Hoàng Phi
57,Khương Ngọc,Quách Ngọc Tuyên
58,Khương Ngọc,Thanh Tân
59,"


",No actor
60,Hạnh Nhân,Han Jae Suk
61,Hạnh Nhân,Lý Nhã Kỳ
62,Hạnh Nhân,Kim Tuyến
63,Hạnh Nhân,Jo Han Sun
64,Huỳnh Tuấn Anh,No actor
65,Cung Le,Cung Le
66,Luk Vân,Trịnh Thăng Bình
67,Luk Vân,Midu
68,Nguyễn Thành Vinh,Quỳnh Thư
69,Nguyễn Thành Vinh,Thanh Hương
70,Nguyễn Thành Vinh,Phan Hoàng Kim
71,Nguyễn Thành Vinh,Vy Timy
72,Nguyễn Thành Vinh,Vinh Râu
73,Nguyễn Thành Vinh,Huỳnh Phương
74,Nguyễn Thành Vinh,Thái Vũ
75,"


",No actor
76,"


",No actor
77,Hwi Sung Kim,No actor
78,Hiếu Romeo,No actor
79,Nam Đoàn,Quỳnh Thư
80,"


",No actor
81,Bùi Nam Yên,No actor
82,Michael Võ,Nguyễn Anh Dũng
83,Michael Võ,Trương Thị May
84,Michael Võ,Huỳnh Kiến An
85,Michael Võ,Việt Lâm Thắng
